Date,Adj Close,Close,High,Low,Open,Volume
18/11/2019,196.8074188,197.3999939,198.6300049,193.0500031,194.5599976,16167200
19/11/2019,198.7216644,199.3200073,200,196.8600006,197.3999939,19056800
20/11/2019,196.917099,197.5099945,199.5899963,195.4299927,198.5800018,12355400
21/11/2019,197.3358459,197.9299927,199.0899963,196.8600006,197.4199982,12131000
22/11/2019,198.2231903,198.8200073,199.3000031,197.6199951,198.3800049,9959800
25/11/2019,199.1902618,199.7899933,200.9700012,199.25,199.5200043,15272300
26/11/2019,198.3727264,198.9700012,200.1499939,198.0399933,200,11735500
27/11/2019,201.393631,202,203.1399994,199.4199982,199.8999939,12736600
29/11/2019,201.0346985,201.6399994,203.8000031,201.2100067,201.6000061,7985200
02/12/2019,199.1005402,199.6999969,202.1799927,198.0500031,202.1300049,11503400
03/12/2019,198.2231903,198.8200073,198.9299927,195.0800018,197.6000061,11595300
04/12/2019,198.1135101,198.7100067,200.0299988,198.0500031,200,8456300
05/12/2019,198.7615509,199.3600006,201.2899933,198.2100067,199.8600006,9740400
06/12/2019,200.4464722,201.0500031,201.5700073,200.0599976,200.5,12270600
09/12/2019,200.7355957,201.3399963,203.1399994,200.2100067,200.6499939,11954800
10/12/2019,200.2670135,200.8699951,202.0500031,200.1499939,201.6600037,9475700
11/12/2019,201.6528473,202.2599945,202.6300049,200.2799988,200.2799988,8036800
12/12/2019,196.1593933,196.75,203.6600037,194.1000061,202.3500061,23734800
13/12/2019,193.5273132,194.1100006,196.8000031,193.1699982,196.3999939,18798000
16/12/2019,197.3258667,197.9199982,199.1199951,194.8099976,195.2700043,14911500
17/12/2019,197.7944641,198.3899994,199,196.1300049,198.8399963,10175700
18/12/2019,201.8921356,202.5,204.3000031,200.0899963,200.0899963,23274400
19/12/2019,205.4414368,206.0599976,206.3000031,202.5099945,202.7799988,16514600
20/12/2019,205.6807251,206.3000031,207.7100067,203.4299927,207.4799957,27306900
23/12/2019,205.5610657,206.1799927,208.5899963,205.6799927,206.6999969,13348900
24/12/2019,204.5042572,205.1199951,206.7899933,205,206.3000031,6046300
26/12/2019,207.1662292,207.7899933,207.8200073,205.3099976,205.5700073,9350700
27/12/2019,207.4753265,208.1000061,208.9299927,206.5899963,208.6699982,10284200
30/12/2019,203.7963867,204.4100037,207.8999939,203.8999939,207.8600006,10524300
31/12/2019,204.6338806,205.25,205.5599976,203.6000061,204,8953500
02/01/2020,209.1502686,209.7799988,209.7899933,206.2700043,206.75,12077100
03/01/2020,208.0435944,208.6699982,210.3999939,206.9499969,207.2100067,11188400
06/01/2020,211.9618225,212.6000061,212.7799988,206.5200043,206.6999969,17058900
07/01/2020,212.4204254,213.0599976,214.5800018,211.75,212.8200073,14912400
08/01/2020,214.5739441,215.2200012,216.2400055,212.6100006,213,13475000
09/01/2020,217.6446991,218.3000031,218.3800049,216.2799988,217.5399933,12642800
10/01/2020,217.405426,218.0599976,219.8800049,217.4199982,219.1999969,12119400
13/01/2020,221.243866,221.9100037,221.9700012,219.2100067,219.6000061,14463400
14/01/2020,218.4024048,219.0599976,222.3800049,218.6300049,221.6100006,13288900
15/01/2020,220.4861298,221.1499939,221.6799927,220.1399994,220.6100006,10036500
16/01/2020,221.1042786,221.7700043,222.6300049,220.3899994,222.5700073,10015300
17/01/2020,221.473175,222.1399994,222.2899933,220.5299988,222.0299988,15905900
21/01/2020,220.7752686,221.4400024,222.3699951,219.1199951,222.1600037,14275800
22/01/2020,220.6556396,221.3200073,222.75,221.2799988,222.3099976,12212800
23/01/2020,219.1003113,219.7599945,221.4900055,219.2700043,220.75,11195000
24/01/2020,217.2857819,217.9400024,221.7799988,216.1100006,220.8000031,11905800
27/01/2020,214.2249908,214.8699951,216.0599976,212.5,213.1000061,13810700
28/01/2020,217.1362305,217.7899933,218.7400055,213.5200043,216.1399994,13413800
29/01/2020,222.5598907,223.2299957,224.1999969,218.4499969,221.4400024,33181300
30/01/2020,208.9010315,209.5299988,211.4299927,204.75,206.5299988,48775500
31/01/2020,201.3039093,201.9100037,208.6900024,201.0599976,208.4299927,31359900
03/02/2020,203.5770569,204.1900024,205.1399994,202.5,203.4400024,15495600
04/02/2020,209.2001343,209.8300018,210.6000061,205.1999969,206.6199951,19628900
05/02/2020,209.4792786,210.1100006,212.7299957,208.7100067,212.5099945,12538200
06/02/2020,210.2170715,210.8500061,211.1900024,209.3399963,210.4700012,10567500
07/02/2020,211.6926117,212.3300018,212.8200073,209.9299927,210.3000031,12242500
10/02/2020,212.4204254,213.0599976,213.8000031,210.6600037,211.5200043,11856400
11/02/2020,206.5680542,207.1900024,210.8600006,206.5099945,210.1900024,25030800
12/02/2020,210.1273193,210.7599945,211.2200012,207.3999939,207.8500061,13813700
13/02/2020,212.5001831,213.1399994,214.3300018,209.1799927,209.5200043,15396600
14/02/2020,213.5370483,214.1799927,214.9299927,212.6499939,214,10741700
18/02/2020,217.1462097,217.8000031,217.9799957,213.3999939,213.5500031,15609200
19/02/2020,216.8371277,217.4900055,218.3200073,216.1100006,217.9900055,12135100
20/02/2020,213.9358673,214.5800018,218.7700043,212.9499969,216.5200043,13109200
21/02/2020,209.5490723,210.1799927,214.2400055,208.8300018,213.4799957,14092300
