,Date,Adj Close,Close,High,Low,Open,Volume,MA50,MA200,Previous day closing price,Change in price,Percent change in price,Previous day volume,Change in volue,Percent change in volume
31,15/02/2019,162.0121918,162.5,164.6999969,160.8600006,164.5099945,15504400,,,163.9499969,-1.4499969000000021,-0.008844141063841682,12755200.0,2749200.0,0.21553562468640242
32,19/02/2019,161.8028259,162.2899933,164.1499939,160.3300018,160.5,14345400,,,162.5,-0.2100067000000081,-0.001292348923076947,15504400.0,-1159000.0,-0.07475297334950082
33,20/02/2019,162.0720062,162.5599976,163.7200012,161.25,162.25,11770700,,,162.2899933,0.27000430000001074,0.0016637150233957954,14345400.0,-2574700.0,-0.1794791361690855
34,21/02/2019,159.5595856,160.0399933,162.2400055,159.5899963,161.9299927,15607800,,,162.5599976,-2.5200043000000107,-0.015501995184576733,11770700.0,3837100.0,0.3259874094149031
35,22/02/2019,161.4040375,161.8899994,162.4100037,160.3099976,160.5800018,15858500,,,160.0399933,1.8500061000000017,0.011559648696886082,15607800.0,250700.0,0.01606248157972301
36,25/02/2019,164.1258392,164.6199951,166.0700073,162.8999939,163.0700073,18737100,,,161.8899994,2.7299957000000177,0.016863275743517203,15858500.0,2878600.0,0.18151779802629497
37,26/02/2019,163.6372986,164.1300049,166.2400055,163.8000031,164.3399963,13784100,,,164.6199951,-0.48999020000002247,-0.002976492616843851,18737100.0,-4953000.0,-0.2643418672046368
38,27/02/2019,162.3212738,162.8099976,163.9299927,160.4100037,162.8999939,12697500,,,164.1300049,-1.3200072999999861,-0.008042449647182037,13784100.0,-1086600.0,-0.07882995625394473
39,28/02/2019,160.9653473,161.4499969,163.5,160.8600006,162.3699951,11114200,,,162.8099976,-1.3600007000000005,-0.008353299674761505,12697500.0,-1583300.0,-0.12469383736956097
40,01/03/2019,161.7928619,162.2799988,163.1300049,161.6900024,162.6000061,11097800,,,161.4499969,0.830001899999985,0.005140922365666434,11114200.0,-16400.0,-0.0014755897860394551
41,04/03/2019,166.867569,167.3699951,167.5,163.8300018,163.8999939,18894700,,,162.2799988,5.089996300000024,0.03136551847201541,11097800.0,7796900.0,0.7025626700787544
42,05/03/2019,170.7458954,171.2599945,171.8800049,166.5500031,167.3699951,28187900,,,167.3699951,3.8899993999999936,0.023241916196961032,18894700.0,9293200.0,0.4918416275463491
43,06/03/2019,171.992157,172.5099945,173.5700073,171.2700043,172.8999939,21531700,,,171.2599945,1.25,0.007298844097533896,28187900.0,-6656200.0,-0.23613678209444477
44,07/03/2019,168.6222992,169.1300049,171.7400055,167.6100006,171.5,18306500,,,172.5099945,-3.379989600000016,-0.019593007406883967,21531700.0,-3225200.0,-0.1497884514460075
45,08/03/2019,169.0909119,169.6000061,169.6199951,165.9700012,166.1999969,13184800,,,169.1300049,0.4700012000000129,0.002778934466878935,18306500.0,-5121700.0,-0.27977494332614095
46,11/03/2019,171.5534668,172.0700073,174.3000031,171.5800018,171.6000061,18884000,,,169.6000061,2.4700011999999845,0.014563685796942893,13184800.0,5699200.0,0.4322553243128451
47,12/03/2019,171.4039307,171.9199982,173.8000031,171.2200012,172.0899963,12155300,,,172.0700073,-0.15000909999997702,-0.0008717910945307272,18884000.0,-6728700.0,-0.3563175174751112
48,13/03/2019,172.8495636,173.3699951,174.0299988,172.1199951,172.3200073,11973300,,,171.9199982,1.4499969000000021,0.008434137477788761,12155300.0,-182000.0,-0.014972892483114397
49,14/03/2019,169.6591797,170.1699982,171.1499939,168.1600037,169.7599945,18037400,157.700399476,,173.3699951,-3.199996900000002,-0.018457616602885918,11973300.0,6064100.0,0.506468559210911
50,15/03/2019,165.4817505,165.9799957,167.5800018,162.5099945,167.1600037,37135400,158.306399536,,170.1699982,-4.19000250000002,-0.02462245133878138,18037400.0,19098000.0,1.058800048787519
51,18/03/2019,159.9882965,160.4700012,163.8999939,159.2799988,163.5700073,37524200,158.88099945,,165.9799957,-5.509994499999976,-0.03319673841876103,37135400.0,388800.0,0.010469794320244308
52,19/03/2019,161.0849915,161.5700073,163.8200073,160.8200073,161.4799957,25611500,159.353399658,,160.4700012,1.1000060999999732,0.006854901799551838,37524200.0,-11912700.0,-0.3174671278801413
53,20/03/2019,164.9433594,165.4400024,166.1199951,161.2400055,161.5,20211500,159.901199644,,161.5700073,3.8699951000000112,0.023952435013599338,25611500.0,-5400000.0,-0.21084278546746582
54,21/03/2019,165.5814514,166.0800018,166.3899994,163.75,164.8899994,16223000,160.372199704,,165.4400024,0.6399993999999936,0.0038684682707668117,20211500.0,-3988500.0,-0.1973381490735472
55,22/03/2019,163.8466797,164.3399963,167.4199982,164.0899963,165.6499939,16389200,160.77439971599998,,166.0800018,-1.7400054999999952,-0.010476911615736717,16223000.0,166200.0,0.010244714294520119
56,25/03/2019,165.790802,166.2899933,166.5399933,162.0,163.0,12631200,161.216199644,,164.3399963,1.9499969999999962,0.011865626408073648,16389200.0,-3758000.0,-0.22929734215214903
57,26/03/2019,167.176651,167.6799927,169.4499969,166.3500061,167.3500061,15437900,161.69379943599998,,166.2899933,1.389999400000022,0.008358887822506267,12631200.0,2806700.0,0.22220374944581667
58,27/03/2019,165.3720703,165.8699951,168.9400024,164.7899933,167.8500061,10620300,162.10339935,,167.6799927,-1.8099976000000026,-0.010794356385966153,15437900.0,-4817600.0,-0.31206316921342925
59,28/03/2019,165.0530548,165.5500031,166.7200012,163.3300018,164.5700073,10443000,162.43539947399998,,165.8699951,-0.3199920000000134,-0.0019291735060767978,10620300.0,-177300.0,-0.016694443659783675
60,29/03/2019,166.189621,166.6900024,167.1900024,164.8099976,166.3899994,13455500,162.818399656,,165.5500031,1.1399992999999995,0.006886132761419361,10443000.0,3012500.0,0.2884707459542277
61,01/04/2019,168.1935883,168.6999969,168.8999939,167.2799988,167.8300018,10381500,163.226399532,,166.6900024,2.009994500000005,0.012058278667347322,13455500.0,-3074000.0,-0.22845676489168
62,02/04/2019,173.677063,174.1999969,174.8999939,169.5500031,170.1399994,23946500,163.709599604,,168.6999969,5.5,0.03260225311835785,10381500.0,13565000.0,1.30665125463565
63,03/04/2019,173.0190582,173.5399933,177.9600067,172.9499969,174.5,27391100,164.228999324,,174.1999969,-0.6600036000000102,-0.003788769298192829,23946500.0,3444600.0,0.14384565594136922
64,04/04/2019,175.4916229,176.0200043,178.0,175.5299988,176.0200043,17847700,164.86339934799997,,173.5399933,2.480011000000019,0.01429071738935006,27391100.0,-9543400.0,-0.34841244053725484
65,05/04/2019,175.1925049,175.7200012,177.0,175.1000061,176.8800049,9594100,165.461199336,,176.0200043,-0.30000309999999786,-0.0017043693482059474,17847700.0,-8253600.0,-0.4624461415196356
66,08/04/2019,174.404892,174.9299927,175.5,174.2299957,175.2100067,7297400,165.97959930000002,,175.7200012,-0.790008499999999,-0.004495837096545663,9594100.0,-2296700.0,-0.2393867064133165
67,09/04/2019,177.046936,177.5800018,179.1900024,175.5500031,175.6199951,19751000,166.58179931200002,,174.9299927,2.650009099999977,0.015148969362530407,7297400.0,12453600.0,1.7065804259051167
68,10/04/2019,177.2862091,177.8200073,178.7899933,176.5399933,178.1799927,11701500,167.25439941000002,,177.5800018,0.2400054999999952,0.0013515345059536,19751000.0,-8049500.0,-0.407548984861526
69,11/04/2019,176.9771423,177.5099945,178.3999939,177.0,178.2400055,8071000,167.79619933600003,,177.8200073,-0.3100127999999813,-0.0017434078690422572,11701500.0,-3630500.0,-0.3102593684570354
70,12/04/2019,178.5623627,179.1000061,179.6300049,177.9499969,178.0,12329800,168.04439941,,177.5099945,1.5900115999999969,0.008957307471495701,8071000.0,4258800.0,0.5276669557675628
71,15/04/2019,179.1107178,179.6499939,180.5,176.8699951,178.5,10834800,168.32319915400004,,179.1000061,0.5499877999999967,0.0030708418831260076,12329800.0,-1495000.0,-0.12125095297571742
72,16/04/2019,178.3330536,178.8699951,180.1699982,178.3000031,179.0,11215200,168.51559905600004,,179.6499939,-0.7799987999999871,-0.004341769142692908,10834800.0,380400.0,0.0351090929228044
73,17/04/2019,178.2433319,178.7799988,180.7400055,178.3600006,179.6000061,9973700,168.667998958,,178.8699951,-0.08999630000002412,-0.0005031380469916469,11215200.0,-1241500.0,-0.11069798131107778
74,18/04/2019,177.744812,178.2799988,178.8800049,177.3399963,178.8000031,11655600,168.823798824,,178.7799988,-0.5,-0.002796733434142995,9973700.0,1681900.0,0.1686335061210984
75,22/04/2019,180.89534,181.4400024,181.6699982,178.25,178.25,13389900,169.124998774,,178.2799988,3.1600036000000102,0.017724947393257473,11655600.0,1734300.0,0.1487954288067539
76,23/04/2019,183.2283325,183.7799988,184.2200012,181.4799957,182.7400055,19954800,169.45399871400002,,181.4400024,2.3399963999999898,0.01289680538496274,13389900.0,6564900.0,0.4902874554701677
77,24/04/2019,182.0319214,182.5800018,185.1399994,181.6499939,184.4900055,37289900,169.78979888400002,,183.7799988,-1.1999969999999962,-0.006529529915308752,19954800.0,17335100.0,0.8687183033656063
78,25/04/2019,192.6798706,193.2599945,198.4799957,192.1199951,196.9799957,54148800,170.354198908,,182.5800018,10.679992700000014,0.0584948657832689,37289900.0,16858900.0,0.45210365273170483
79,26/04/2019,190.9151764,191.4900055,192.8999939,189.0899963,192.5,22075000,170.90259887200003,,193.2599945,-1.7699890000000096,-0.009158589725614452,54148800.0,-32073800.0,-0.5923270691132583
80,29/04/2019,194.1952972,194.7799988,195.4100037,190.6499939,190.9499969,19641300,171.51919890999997,,191.4900055,3.289993299999992,0.01718101835868402,22075000.0,-2433700.0,-0.11024688561721407
81,30/04/2019,192.8194427,193.3999939,197.3899994,192.2799988,194.1900024,23494700,172.13719878799998,,194.7799988,-1.3800048999999888,-0.007084941516079302,19641300.0,3853400.0,0.19618864331790675
82,01/05/2019,192.4505615,193.0299988,196.1799927,193.0099945,194.7799988,15996600,172.751998898,,193.3999939,-0.36999510000001123,-0.0019131081265252314,23494700.0,-7498100.0,-0.3191400613755443
83,02/05/2019,191.9520416,192.5299988,194.0,189.75,193.0,13209500,173.35139892199996,,193.0299988,-0.5,-0.0025902709584433303,15996600.0,-2787100.0,-0.1742307740394834
84,03/05/2019,194.8832245,195.4700012,196.1600037,193.7100067,194.3800049,14575400,174.05999908,,192.5299988,2.9400024000000258,0.015270360039081998,13209500.0,1365900.0,0.10340285400658611
85,06/05/2019,193.2980042,193.8800049,194.2799988,190.5500031,191.2400055,13994900,174.69979919000002,,195.4700012,-1.5899963000000241,-0.008134221569749633,14575400.0,-580500.0,-0.039827380380641375
86,07/05/2019,189.2003479,189.7700043,192.8999939,187.8500061,192.5399933,16253000,175.202799374,,193.8800049,-4.110000599999978,-0.021198682154561777,13994900.0,2258100.0,0.16135163523855112
87,08/05/2019,188.9710236,189.5399933,190.7200012,188.5500031,189.3899994,12505700,175.710999142,,189.7700043,-0.23001100000001884,-0.0012120514032154528,16253000.0,-3747300.0,-0.23056051190549443
88,09/05/2019,188.0837097,188.6499939,189.7700043,186.2599945,187.1999969,12967000,176.22779906800002,,189.5399933,-0.8899993999999936,-0.004695575770076732,12505700.0,461300.0,0.03688717944617248
89,10/05/2019,187.7746277,188.3399963,190.0,184.5899963,188.25,12578500,176.76559905599999,,188.6499939,-0.30999760000000265,-0.00164324203564159,12967000.0,-388500.0,-0.029960669391532302
90,13/05/2019,180.9950409,181.5399933,185.4299927,180.8399963,183.5,16833300,177.150798946,,188.3399963,-6.800003000000004,-0.036104933278051754,12578500.0,4254800.0,0.33825972890249245
91,14/05/2019,180.1874542,180.7299957,183.4900055,178.1000061,182.5200043,17628100,177.417998958,,181.5399933,-0.8099976000000026,-0.004461813539132664,16833300.0,794800.0,0.04721593508105948
92,15/05/2019,185.7108459,186.2700043,187.2799988,180.0200043,180.4199982,16746900,177.718199154,,180.7299957,5.5400086000000215,0.03065350927798427,17628100.0,-881200.0,-0.04998837083973884
93,16/05/2019,186.4286804,186.9900055,188.5800018,185.0500031,185.0500031,12953100,178.007799374,,186.2700043,0.7200011999999845,0.0038653630932459215,16746900.0,-3793800.0,-0.226537448721853
94,17/05/2019,184.7437592,185.3000031,187.5800018,184.2799988,184.8399963,10485400,178.331199338,,186.9900055,-1.6900023999999974,-0.009037929035196512,12953100.0,-2467700.0,-0.19051037975465335
95,20/05/2019,182.1714935,182.7200012,184.2299957,181.3699951,181.8800049,10352000,178.59359924,,185.3000031,-2.580001899999985,-0.013923377532852221,10485400.0,-133400.0,-0.012722452171590959
96,21/05/2019,184.2651978,184.8200073,185.6999969,183.8899994,184.5700073,7502800,178.84859924,,182.7200012,2.1000060999999732,0.011493028054993193,10352000.0,-2849200.0,-0.27523183925811434
97,22/05/2019,184.7637177,185.3200073,186.7400055,183.6100006,184.7299957,9213800,179.116599422,,184.8200073,0.5,0.002705334813608129,7502800.0,1711000.0,0.22804819534040632
98,23/05/2019,180.3270569,180.8699951,183.8999939,179.6699982,182.4199982,12768800,179.266599422,,185.3200073,-4.450012199999975,-0.024012583772437535,9213800.0,3555000.0,0.3858342920402005
99,24/05/2019,180.5164795,181.0599976,183.6300049,180.8300018,182.3300018,8807700,179.48439941,,180.8699951,0.19000249999999141,0.0010504920945839658,12768800.0,-3961100.0,-0.3102170916609235
100,28/05/2019,183.7567291,184.3099976,184.7100067,181.4499969,181.5399933,14843300,179.850999448,,181.0599976,3.25,0.01794985111609204,8807700.0,6035600.0,0.6852640303370914
101,29/05/2019,181.6430969,182.1900024,184.5599976,181.3500061,183.5,12797700,180.285399472,,184.3099976,-2.1199952000000053,-0.011502334260786728,14843300.0,-2045600.0,-0.13781302001576468
102,30/05/2019,182.4606323,183.0099945,183.4799957,180.8899994,183.0800018,8581500,180.71419921599997,,182.1900024,0.8199921000000074,0.004500752451826129,12797700.0,-4216200.0,-0.329449823015073
103,31/05/2019,176.9372711,177.4700012,180.5399933,177.1600037,180.2799988,15226500,180.954799192,,183.0099945,-5.539993299999992,-0.030271534159299618,8581500.0,6645000.0,0.77434015032337
104,03/06/2019,163.6572418,164.1499939,175.0500031,161.0099945,175.0,56059600,180.916199034,,177.4700012,-13.320007300000015,-0.07505497948911954,15226500.0,40833100.0,2.6817128033362887
105,04/06/2019,166.9971924,167.5,168.2799988,160.8399963,163.7100067,46044300,180.979399108,,164.1499939,3.3500061000000017,0.02040820118483122,56059600.0,-10015300.0,-0.1786545034213587
106,05/06/2019,167.6651764,168.1699982,168.7200012,164.6300049,167.4799957,19758300,181.016999206,,167.5,0.6699982000000091,0.003999989253731462,46044300.0,-26286000.0,-0.5708849955369069
107,06/06/2019,167.824707,168.3300018,169.6999969,167.2299957,168.3000031,12446400,181.029999388,,168.1699982,0.16000359999998182,0.0009514396248591073,19758300.0,-7311900.0,-0.3700672628718058
108,07/06/2019,172.8296204,173.3500061,173.8699951,168.8399963,170.1699982,16917300,181.179599608,,168.3300018,5.020004300000011,0.02982239794641295,12446400.0,4470900.0,0.35921230235248736
109,10/06/2019,174.2952271,174.8200073,177.8600006,173.8000031,174.75,14767900,181.36499969199997,,173.3500061,1.4700011999999845,0.008479960474601755,16917300.0,-2149400.0,-0.1270533714008737
110,11/06/2019,177.5653839,178.1000061,179.9799957,176.7899933,178.4799957,15266600,181.593199766,,174.8200073,3.2799988000000155,0.01876214771214002,14767900.0,498700.0,0.03376918857792921
111,12/06/2019,174.5145569,175.0399933,179.2700043,172.8800049,178.3800049,17699800,181.719999694,,178.1000061,-3.0600128000000097,-0.017181430068463177,15266600.0,2433200.0,0.159380608648946
112,13/06/2019,176.9372711,177.4700012,178.0299988,174.6100006,175.5299988,12253600,181.78539978,,175.0399933,2.430007900000021,0.013882586797379748,17699800.0,-5446200.0,-0.3076983920722268
113,14/06/2019,180.7856903,181.3300018,181.8399963,180.0,180.5099945,16773700,181.94119995,,177.4700012,3.860000599999978,0.02175015818955206,12253600.0,4520100.0,0.36887934974211656
114,17/06/2019,188.4426117,189.0099945,189.5,184.4100037,185.0099945,29459900,182.200999754,,181.3300018,7.679992700000014,0.04235367905897203,16773700.0,12686200.0,0.7563149454205096
115,18/06/2019,187.9042358,188.4700012,194.5299988,187.2799988,194.0,37571400,182.455999754,,189.0099945,-0.5399932999999919,-0.002856956328835758,29459900.0,8111500.0,0.27534037793746746
116,19/06/2019,186.9172211,187.4799957,188.1000061,184.5500031,187.0,21417100,182.70699981399997,,188.4700012,-0.9900055000000236,-0.005252854532268203,37571400.0,-16154300.0,-0.4299626843822695
117,20/06/2019,188.9610748,189.5299988,191.1600037,187.6399994,190.9499969,14635700,182.945999754,,187.4799957,2.050003099999998,0.010934516465854527,21417100.0,-6781400.0,-0.316634838516886
118,21/06/2019,190.5662231,191.1399994,192.0,188.75,188.75,22751200,183.21239959599998,,189.5299988,1.6100006000000064,0.008494700628890683,14635700.0,8115500.0,0.5545002972184454
119,24/06/2019,192.0218506,192.6000061,193.9799957,191.5700073,192.4199982,15509000,183.514199828,,191.1399994,1.460006700000008,0.007638415321665093,22751200.0,-7242200.0,-0.3183216709448293
120,25/06/2019,188.2731171,188.8399963,193.1399994,188.1300049,192.8800049,16750300,183.70899963199997,,192.6000061,-3.760009800000006,-0.01952237632873055,15509000.0,1241300.0,0.08003739764007989
121,26/06/2019,187.0966797,187.6600037,190.7599945,187.3099976,189.5399933,12808600,183.86919982799998,,188.8399963,-1.1799925999999914,-0.006248637063757445,16750300.0,-3941700.0,-0.2353211584270133
122,27/06/2019,188.9311676,189.5,198.8800049,188.2700043,189.8800049,11159000,184.08179992599997,,187.6600037,1.8399962999999957,0.00980494651881969,12808600.0,-1649600.0,-0.12878847024655304
123,28/06/2019,192.420639,193.0,193.1999969,189.9400024,190.5500031,16378900,184.36619995,,189.5,3.5,0.01846965699208436,11159000.0,5219900.0,0.46777489022313823
124,01/07/2019,192.420639,193.0,195.2799988,191.9299927,195.2100067,14181800,184.660599974,,193.0,0.0,0.0,16378900.0,-2197100.0,-0.134142097454652
125,02/07/2019,194.4146423,195.0,195.0,192.7100067,193.0,9050000,184.931799926,,193.0,2.0,0.010362694300518172,14181800.0,-5131800.0,-0.36185815622840545
126,03/07/2019,196.6080322,197.1999969,197.3999939,194.1600037,194.1600037,10246100,185.20019988800001,,195.0,2.199996900000002,0.011282035384615474,9050000.0,1196100.0,0.13216574585635366
127,05/07/2019,195.8104401,196.3999939,197.0700073,194.1699982,196.1799927,11164100,185.47659972999998,,197.1999969,-0.8000030000000038,-0.004056810408600953,10246100.0,918000.0,0.089595065439533
128,08/07/2019,195.172348,195.7599945,196.6799927,193.6399994,195.1900024,9723900,185.52659973,,196.3999939,-0.6399993999999936,-0.0032586528507014823,11164100.0,-1440200.0,-0.12900278571492552
129,09/07/2019,198.6120148,199.2100067,199.4600067,194.8899994,194.9700012,14698600,185.680999754,,195.7599945,3.4500122000000033,0.017623683576472482,9723900.0,4974700.0,0.5115951418669464
130,10/07/2019,202.1214294,202.7299957,202.9600067,199.6699982,200.0,20571700,185.83999969200002,,199.2100067,3.519988999999981,0.01766973988059206,14698600.0,5873100.0,0.3995686664036031
